text,label
I will be late today.,0
No pending action is required from your side.,0
Your account has been credited with ₹1200 on 15 Feb.,0
Your registered email has been updated.,0
Transaction of ₹250 was successful.,0
"Good morning, have a nice day!",0
Your mobile number has been successfully linked.,0
NEFT transaction of ₹1200 has been processed.,0
Your card ending 9876 was used for ₹500.,0
I have sent the files on WhatsApp.,0
Your request has been processed successfully.,0
Your card ending 5678 was used for ₹1200.,0
Your bank account balance is ₹9876.,0
Your request has been processed successfully.,0
Your account is active and compliant.,0
Your documents have been verified successfully.,0
I will be late today.,0
Your statement for the month is now available.,0
Transaction of ₹2500 was successful.,0
"Good morning, have a nice day!",0
I have sent the files on WhatsApp.,0
Your account has been credited with ₹500 on 12 Feb.,0
Your service request has been closed.,0
Debit of ₹2500 from your account on 12 Feb. Available balance ₹9876.,0
Your account has been credited with ₹5000 on 15 Feb.,0
I have sent the files on WhatsApp.,0
Did you talk to mom?,0
OTP for your transaction is 902341. Do not share it with anyone.,0
I have sent the files on WhatsApp.,0
Your registered email has been updated.,0
Please remind me in the evening.,0
Your account is active and compliant.,0
Your KYC verification is complete.,0
Your registered email has been updated.,0
Thank you for banking with us.,0
Your service request has been closed.,0
Your service request has been closed.,0
Your mobile number has been successfully linked.,0
Let's meet tomorrow morning.,0
Your bank account balance is ₹9876.,0
Your account is active and compliant.,0
Your request has been processed successfully.,0
Thank you for banking with us.,0
Your statement for the month is now available.,0
"Hey, are you free tonight?",0
Your registered email has been updated.,0
I will be late today.,0
Your account has been credited with ₹1200 on 15 Feb.,0
Call me when you reach home.,0
Your KYC verification is complete.,0
Thank you for banking with us.,0
Thanks for the help today.,0
Transaction of ₹10000 was successful.,0
"Hey, are you free tonight?",0
I will be late today.,0
Your card ending 5678 was used for ₹2500.,0
Call me when you reach home.,0
No pending action is required from your side.,0
Your KYC verification is complete.,0
Your account is active and compliant.,0
See you soon.,0
Let's meet tomorrow morning.,0
Your service request has been closed.,0
Your registered email has been updated.,0
Your account is active and compliant.,0
Your bank account balance is ₹12000.,0
Call me when you reach home.,0
Your mobile number has been successfully linked.,0
OTP for your transaction is 774512. Do not share it with anyone.,0
Thank you for banking with us.,0
Your bank account balance is ₹45230.,0
Debit of ₹10000 from your account on yesterday. Available balance ₹3400.,0
Your KYC verification is complete.,0
Your KYC verification is complete.,0
No pending action is required from your side.,0
Let's meet tomorrow morning.,0
Please remind me in the evening.,0
Call me when you reach home.,0
Your account is active and compliant.,0
Your registered email has been updated.,0
IMPS transfer of ₹1200 completed successfully.,0
I will be late today.,0
Did you talk to mom?,0
Your card ending 5678 was used for ₹5000.,0
OTP for your transaction is 774512. Do not share it with anyone.,0
OTP for your transaction is 774512. Do not share it with anyone.,0
Your bank account balance is ₹5600.,0
Your account is active and compliant.,0
Your registered email has been updated.,0
Your registered email has been updated.,0
Your mobile number has been successfully linked.,0
Your mobile number has been successfully linked.,0
Let's meet tomorrow morning.,0
Your service request has been closed.,0
Call me when you reach home.,0
Transaction of ₹10000 was successful.,0
See you soon.,0
"Hey, are you free tonight?",0
Your service request has been closed.,0
Your card ending 5678 was used for ₹10000.,0
Thanks for the help today.,0
Debit of ₹250 from your account on 20 Feb. Available balance ₹9876.,0
Did you talk to mom?,0
"Good morning, have a nice day!",0
OTP for your transaction is 774512. Do not share it with anyone.,0
Your account is active and compliant.,0
Your statement for the month is now available.,0
Your documents have been verified successfully.,0
OTP for your transaction is 483920. Do not share it with anyone.,0
Your statement for the month is now available.,0
Let's meet tomorrow morning.,0
Did you talk to mom?,0
