text,label
Recharge your mobile and get ₹500 cashback. Offer expires today.,1
Flipkart Festive Offer: Buy 1 Get 1 Free on home appliances. Hurry!,1
Recharge your mobile and get ₹500 cashback. Offer expires today.,1
Recharge your mobile and get ₹1000 cashback. Offer expires today.,1
Pay your electricity bill via Paytm app & get ₹500 cashback.,1
You are selected for a lucky draw. Claim prize worth ₹500. Call 18602662666.,1
HDFC Bank Festive Offer: Buy 1 Get 1 Free on electronics. Hurry!,1
You are selected for a lucky draw. Claim prize worth ₹5000. Call 1800123456.,1
Recharge your mobile and get ₹2000 cashback. Offer expires today.,1
Limited time sale on groceries. Shop now on Flipkart and save big.,1
Exclusive loan offer! Get instant personal loan up to ₹500. Apply now.,1
Exclusive loan offer! Get instant personal loan up to ₹500. Apply now.,1
Exclusive loan offer! Get instant personal loan up to ₹2000. Apply now.,1
Exclusive loan offer! Get instant personal loan up to ₹5000. Apply now.,1
Limited time sale on electronics. Shop now on Jio and save big.,1
Recharge your mobile and get ₹2000 cashback. Offer expires today.,1
Get flat 70% OFF on smartphones. Offer valid till tonight. Visit Amazon store now!,1
Get flat 30% OFF on groceries. Offer valid till 31st March. Visit Jio store now!,1
Your KYC is pending. Update immediately to avoid service disruption. promo.link/india,1
Exclusive loan offer! Get instant personal loan up to ₹500. Apply now.,1
Your KYC is pending. Update immediately to avoid service disruption. tinyurl.com/deal,1
Recharge your mobile and get ₹2000 cashback. Offer expires today.,1
Limited time sale on groceries. Shop now on Airtel and save big.,1
Tata Neu Festive Offer: Buy 1 Get 1 Free on fashion. Hurry!,1
"Dear customer, your Flipkart credit card is pre-approved. Call 18602662666 to activate.",1
Airtel Festive Offer: Buy 1 Get 1 Free on fashion. Hurry!,1
Limited time sale on electronics. Shop now on Amazon and save big.,1
Amazon Festive Offer: Buy 1 Get 1 Free on fashion. Hurry!,1
"Dear customer, your Jio credit card is pre-approved. Call 9876543210 to activate.",1
Recharge your mobile and get ₹1000 cashback. Offer expires today.,1
Amazon Festive Offer: Buy 1 Get 1 Free on fashion. Hurry!,1
Exclusive loan offer! Get instant personal loan up to ₹5000. Apply now.,1
Pay your electricity bill via Tata Neu app & get ₹2000 cashback.,1
PhonePe Festive Offer: Buy 1 Get 1 Free on groceries. Hurry!,1
Get flat 30% OFF on groceries. Offer valid till today. Visit PhonePe store now!,1
Get flat 20% OFF on groceries. Offer valid till tonight. Visit Flipkart store now!,1
Pay your electricity bill via Amazon app & get ₹500 cashback.,1
You are selected for a lucky draw. Claim prize worth ₹1000. Call 18602662666.,1
Limited time sale on groceries. Shop now on Amazon and save big.,1
Your KYC is pending. Update immediately to avoid service disruption. tinyurl.com/deal,1
Limited time sale on electronics. Shop now on Airtel and save big.,1
Get flat 10% OFF on smartphones. Offer valid till 31st March. Visit PhonePe store now!,1
Pay your electricity bill via Flipkart app & get ₹500 cashback.,1
Amazon Festive Offer: Buy 1 Get 1 Free on electronics. Hurry!,1
Get flat 20% OFF on home appliances. Offer valid till today. Visit Airtel store now!,1
Pay your electricity bill via Paytm app & get ₹1000 cashback.,1
Pay your electricity bill via Airtel app & get ₹2000 cashback.,1
Recharge your mobile and get ₹500 cashback. Offer expires today.,1
"Dear customer, your Airtel credit card is pre-approved. Call 18602662666 to activate.",1
Recharge your mobile and get ₹1000 cashback. Offer expires today.,1
You are selected for a lucky draw. Claim prize worth ₹2000. Call 9876543210.,1
Get flat 20% OFF on groceries. Offer valid till this weekend. Visit Jio store now!,1
Exclusive loan offer! Get instant personal loan up to ₹5000. Apply now.,1
Limited time sale on home appliances. Shop now on Flipkart and save big.,1
Your KYC is pending. Update immediately to avoid service disruption. tinyurl.com/deal,1
Pay your electricity bill via Flipkart app & get ₹1000 cashback.,1
Your KYC is pending. Update immediately to avoid service disruption. tinyurl.com/deal,1
Your KYC is pending. Update immediately to avoid service disruption. bit.ly/offer,1
Recharge your mobile and get ₹2000 cashback. Offer expires today.,1
Your KYC is pending. Update immediately to avoid service disruption. tinyurl.com/deal,1
"Dear customer, your Jio credit card is pre-approved. Call 1800123456 to activate.",1
"Dear customer, your Jio credit card is pre-approved. Call 1800123456 to activate.",1
Exclusive loan offer! Get instant personal loan up to ₹500. Apply now.,1
Win assured cashback of ₹5000. Click promo.link/india to claim your reward.,1
Your KYC is pending. Update immediately to avoid service disruption. tinyurl.com/deal,1
Recharge your mobile and get ₹5000 cashback. Offer expires today.,1
HDFC Bank Festive Offer: Buy 1 Get 1 Free on smartphones. Hurry!,1
Win assured cashback of ₹2000. Click bit.ly/offer to claim your reward.,1
You are selected for a lucky draw. Claim prize worth ₹1000. Call 18602662666.,1
Airtel Festive Offer: Buy 1 Get 1 Free on groceries. Hurry!,1
